Date,Open,High,Low,Close
1999-01-04,132.97,134.99,131.32,132.37
1999-01-05,132.25,133.08,130,130.1
1999-01-06,131,132.36,130.65,131.15
1999-01-07,130.84,132.21,128,129.9
1999-01-08,130.4,131.06,128.45,128.48
1999-01-11,127.85,129.1,124.55,124.9
1999-01-12,125.38,130,124.75,130
1999-01-13,129.95,133.62,128.3,131.93
1999-01-14,132.25,133.6,131,132.86
1999-01-15,132.85,132.85,130.7,131.6
1999-01-18,131.8,134.1,131.4,132.75
1999-01-19,132.4,132.91,131.16,131.65
1999-01-20,131.85,131.85,130.2,130.5
1999-01-21,130.75,132.38,129.89,131.8
1999-01-22,131.9,132.95,131.58,132.7
1999-01-25,132.6,132.89,131.2,131.75
1999-01-26,131.35,132.27,131,131.52
1999-01-27,131.56,132.94,130.81,132.34
1999-01-28,132.29,133.15,131.78,132.88
1999-01-29,132.77,132.9,131.47,132.17
1999-02-01,132.39,132.42,129.65,130.05
1999-02-02,129.93,130.27,126.75,127.18
1999-02-03,127.17,128.35,126.7,127.5
1999-02-04,127.9,128.85,126.2,126.95
1999-02-05,127,128.21,126.58,127.45
1999-02-08,127.2,129.9,127,129.67
1999-02-09,129.67,130.17,128.78,129.01
1999-02-10,128.91,130.96,128.75,129.67
1999-02-11,129.46,129.76,128.47,128.57
1999-02-12,128.67,129.9,127.92,128.89
1999-02-15,128.77,130.09,128.34,129.55
1999-02-16,129.68,133.1,129.68,132.9
1999-02-17,133.05,133.83,132.27,133.7
1999-02-18,133.75,134.83,133.2,134
1999-02-19,133.8,134.58,133.51,134
1999-02-22,133.75,134.8,132.53,133.39
1999-02-23,133.55,133.6,132.42,133.07
1999-02-24,133,134.01,132.8,133.7
1999-02-25,133.5,133.74,131.71,132.17
1999-02-26,131.96,132.88,130.08,131.12
1999-03-01,131,131.52,130.12,130.46
1999-03-02,130.5,132.75,130.26,131.34
1999-03-03,131.35,132.67,131.24,132.57
1999-03-04,132.47,134.1,132.35,133.16
1999-03-05,133.31,133.49,132.45,132.95
1999-03-08,132.85,133.19,131.62,132.33
1999-03-09,132.27,132.78,131.58,131.75
1999-03-10,131.74,132.35,131.1,131.1
1999-03-11,131,131.95,129.65,131.42
1999-03-12,131.42,132.56,129.21,129.46
1999-03-15,129.7,130.05,128.46,128.73
1999-03-16,128.61,129.52,127.2,129.22
1999-03-17,129.31,130.74,128.85,129.9
1999-03-18,130.09,131.04,128.61,128.87
1999-03-19,128.86,129.2,127.48,127.6
1999-03-22,127.6,129.06,127.4,128.82
1999-03-23,129.02,129.5,128.24,128.78
1999-03-24,128.73,128.96,127.95,128.32
1999-03-25,128.32,128.8,127.78,128
1999-03-26,128.01,129.56,127.85,129.41
1999-03-29,129.33,129.65,128.04,129
1999-03-30,128.93,129.65,128.55,128.97
1999-03-31,128.93,129.41,127.37,127.87
1999-04-01,128.01,130.24,127.12,130.24
1999-04-02,130.4,130.49,129.6,130.33
1999-04-05,130.03,130.84,129.81,130.4
1999-04-06,130.42,131.07,129.46,130.68
1999-04-07,130.65,131.33,130.09,130.6
1999-04-08,130.77,131.36,130.06,130.3
1999-04-09,130.29,130.93,129.64,130.57
1999-04-12,130.72,130.81,129.8,130.03
1999-04-13,130.04,130.52,128.82,129.03
1999-04-14,129.02,129.2,127.85,128.23
1999-04-15,128.29,128.69,126.93,127.46
1999-04-16,127.44,127.44,125.33,126.07
1999-04-19,125.72,126.78,124.79,125.37
1999-04-20,125.39,126.39,125.09,126.36
1999-04-21,126.2,127.28,125.75,126.78
1999-04-22,126.78,128,126.46,127.21
1999-04-23,127.19,127.76,126.37,126.37
1999-04-26,126.45,126.6,125.76,126.29
1999-04-27,126.36,128.48,126.24,128.22
1999-04-28,128.07,128.22,126.25,126.51
1999-04-29,126.45,126.87,125.83,126.36
1999-04-30,126.44,127.06,125.94,126.25
1999-05-03,126.5,127.43,126.31,127.13
1999-05-04,127.1,128.46,127,128.45
1999-05-05,128.44,129.94,128.17,129.59
1999-05-06,129.51,130.75,128.88,130.01
1999-05-07,130.13,130.47,129.62,129.89
1999-05-10,129.61,130.6,129.24,129.96
1999-05-11,129.99,130.37,129.34,129.46
1999-05-12,129.56,129.73,128.51,128.76
1999-05-13,128.66,129.94,128.6,129.67
1999-05-14,129.75,130.97,129.4,130.88
1999-05-17,131.12,131.87,130.92,131.86
1999-05-18,131.69,132.02,131.04,131.61
1999-05-19,131.66,132.88,131.23,132.48
1999-05-20,132.5,133.07,131.69,132.08
1999-05-21,132.03,132.41,130.58,131.21
1999-05-24,131.04,131.34,130.09,130.5
1999-05-25,130.52,130.7,129.67,129.76
1999-05-26,129.78,130.05,127.36,127.7
1999-05-27,127.81,128.32,125.32,125.35
1999-05-28,125.7,127.06,125.46,126.66
1999-05-31,127.32,127.67,126.3,126.59
1999-06-01,126.6,126.99,125.73,126.13
1999-06-02,126.08,126.13,124.63,125.79
1999-06-03,125.96,126.38,125.22,125.46
1999-06-04,125.32,126.82,124.92,126.71
1999-06-07,126.69,126.87,123.82,124.4
1999-06-08,124.34,126.44,124.04,124.66
1999-06-09,124.68,125.2,123.81,124.63
1999-06-10,124.72,125.79,123.11,124.6
1999-06-11,124.59,125.15,123.58,123.99
1999-06-14,124.15,126.6,123.75,125.62
1999-06-15,125.7,125.79,124.78,125.46
1999-06-16,125.55,125.79,123.44,124.06
1999-06-17,124.05,124.35,122.85,123.52
1999-06-18,123.46,125.86,122.53,125.1
1999-06-21,125.37,127.35,125.15,126.6
1999-06-22,126.57,126.57,125.2,125.65
1999-06-23,125.85,126.49,125.3,126
1999-06-24,125.92,127.02,125.65,126.83
1999-06-25,126.78,127.68,126.22,126.59
1999-06-28,126.4,126.77,125.37,125.54
1999-06-29,125.52,126.1,124.4,124.92
1999-06-30,125.02,125.45,124.41,125.4
1999-07-01,125.35,125.97,123.43,123.55
1999-07-02,123.8,124.53,123.47,123.84
1999-07-05,123.99,125.94,123.9,125.1
1999-07-06,125.11,125.3,124.16,124.9
1999-07-07,124.97,125.56,124.38,124.9
1999-07-08,124.55,125.5,124.31,125.2
1999-07-09,125.22,125.7,124.33,124.55
1999-07-12,124.65,124.87,123.55,123.93
1999-07-13,123.96,124.13,123.18,123.25
1999-07-14,123.3,123.65,122.49,123.15
1999-07-15,123.22,123.96,122.67,123.25
1999-07-16,123.33,123.87,122.82,123.32
1999-07-19,123.15,123.15,120.91,121.85
1999-07-20,122.05,124.47,121.46,123.87
1999-07-21,123.83,124.93,123.61,124.33
1999-07-22,124.35,125.07,122.43,122.7
1999-07-23,122.81,123.43,121.67,122.5
1999-07-26,123.11,124.5,122.48,124.5
1999-07-27,124.3,124.87,123.28,123.7
1999-07-28,123.85,124.02,122.65,123.73
1999-07-29,123.62,123.94,122.82,123.73
1999-07-30,123.6,124.02,122.47,122.52
1999-08-02,122.59,122.59,121.36,122.25
1999-08-03,122.2,123.66,122.2,123
1999-08-04,123.04,124.42,122.74,123.22
1999-08-05,123.3,123.95,122.75,123.08
1999-08-06,123.2,123.56,122.5,123.08
1999-08-09,121.5,123.66,121.5,123.42
1999-08-10,123.35,123.62,122.8,122.88
1999-08-11,122.9,123.3,122.51,122.95
1999-08-12,123.2,123.79,122.9,123.06
1999-08-13,123.02,123.28,122,122.3
1999-08-16,122.47,122.47,120.98,121.24
1999-08-17,121.08,121.48,119.6,119.68
1999-08-18,119.83,120.05,117.64,117.73
1999-08-19,117.8,118.83,116.52,118.83
1999-08-20,118.7,119.56,118.1,118.83
1999-08-23,118.64,118.64,116.9,116.95
1999-08-24,117,118.22,116.3,117.05
1999-08-25,116.68,117.7,115.47,115.6
1999-08-26,115.85,117.2,115.4,116.59
1999-08-27,116.7,117.22,115.89,116.62
1999-08-30,116.4,116.7,115.6,115.85
1999-08-31,116.18,116.99,114.73,115.88
1999-09-01,115.85,116.83,115.15,115.5
1999-09-02,115.33,117.38,114.95,116.7
1999-09-03,117.01,118,116.36,116.6
1999-09-06,115.95,116.95,115.74,115.81
1999-09-07,115.88,117.98,115.62,117.23
1999-09-08,117.2,118.4,117,117.72
1999-09-09,117.43,117.6,113.26,113.75
1999-09-10,113.75,115.7,112.65,112.83
1999-09-13,112.73,112.9,109.53,111.06
1999-09-14,111.14,111.39,108.84,109.64
1999-09-15,109.67,110.01,106.75,108.89
1999-09-16,108.81,110.08,107.62,109.11
1999-09-17,109.26,111.82,108.83,111.01
1999-09-20,112.06,112.92,109.65,109.88
1999-09-21,110,111.52,107.91,109.98
1999-09-22,110.06,110.5,108.4,108.52
1999-09-23,108.55,109.38,108.1,108.56
1999-09-24,109.03,110.46,108.35,108.68
1999-09-27,109.76,111.49,108.32,110.88
1999-09-28,110.63,112.27,110.32,112.06
1999-09-29,111.81,113.94,111.7,113.94
1999-09-30,114.02,114.09,112,113.61
1999-10-01,113.51,113.88,112.27,112.56
1999-10-04,112.41,114.15,112.04,114.01
1999-10-05,114,114.53,113.51,114.33
1999-10-06,114.29,115.88,113.85,114.82
1999-10-07,114.83,115.69,114.57,114.89
1999-10-08,115.21,115.62,113.81,114.16
1999-10-11,114.18,114.76,113.1,113.46
1999-10-12,113.6,114.35,113,114.35
1999-10-13,114.48,116.45,114.08,115.09
1999-10-14,115.08,115.95,114.82,115.64
1999-10-15,115.85,115.9,114.48,114.65
1999-10-18,114.95,115.7,113.65,114.03
1999-10-19,113.91,114.48,113.78,114.09
1999-10-20,114.04,115.26,113.77,114.49
1999-10-21,114.41,114.77,114.09,114.47
1999-10-22,114.5,114.77,112.58,112.95
1999-10-25,113.14,113.42,112.15,112.43
1999-10-26,112.45,112.65,110.55,111.03
1999-10-27,111.01,111.03,109.15,109.36
1999-10-28,109.47,110.7,108.98,110.27
1999-10-29,110.68,110.96,108.86,109.55
1999-11-01,109.86,110.67,109.07,109.35
1999-11-02,109.43,110.67,109.09,109.69
1999-11-03,109.29,110.26,108.62,110.05
1999-11-04,110.11,110.49,108.15,108.84
1999-11-05,108.88,110.89,108.52,110.51
1999-11-08,110.78,111.05,109.03,109.34
1999-11-09,109.16,109.65,108.82,109.24
1999-11-10,109.17,109.48,108.82,109.19
1999-11-11,109.2,109.91,108.98,109.2
1999-11-12,109.14,109.38,107.94,108.27
1999-11-15,108.6,108.7,107.62,108.3
1999-11-16,108.27,109.58,108.08,109.03
1999-11-17,109.32,110.53,108.76,109.8
1999-11-18,109.9,110.36,108.56,109.05
1999-11-19,108.98,109.7,108.85,109.55
1999-11-22,109.55,109.73,107.93,108.04
1999-11-23,108.07,108.16,106.71,107.21
1999-11-24,107.18,107.63,106.16,106.49
1999-11-25,106.51,106.8,105.93,106.21
1999-11-26,106.19,106.48,102.41,103.28
1999-11-29,103.1,105.68,102.23,103.37
1999-11-30,103.4,103.98,102.13,103.04
1999-12-01,103.11,103.72,102.54,103.53
1999-12-02,103.36,103.63,102.7,102.84
1999-12-03,102.89,103.74,102.1,102.9
1999-12-06,103,105.79,102.03,105.39
1999-12-07,105.54,106.2,104.37,104.94
1999-12-08,104.87,105.81,104.56,105.76
1999-12-09,105.78,105.97,103.79,104.64
1999-12-10,104.75,104.84,103.45,103.55
1999-12-13,103.8,104.64,103.54,104.6
1999-12-14,104.61,104.69,103.35,104.01
1999-12-15,104.12,104.45,103.51,104.45
1999-12-16,104.44,104.93,103.25,104.83
1999-12-17,104.69,105.43,103.75,103.95
1999-12-20,103.86,104.68,103.21,103.83
1999-12-21,103.64,103.95,102.7,103.03
1999-12-22,102.96,103.84,102.1,102.53
1999-12-23,102.33,103.63,102.03,103.6
1999-12-24,103.6,104.56,103.31,104.19
1999-12-27,104.05,104.43,103.15,103.45
1999-12-28,103.55,103.9,102.55,103.03
1999-12-29,103.15,103.64,102.15,102.62
1999-12-30,102.47,103.24,102.29,103.13
1999-12-31,103.13,103.72,102.5,103.1
2000-01-03,102.95,104.27,102,104.09
2000-01-04,104.09,106.56,103.97,106.4
2000-01-05,106.25,107.7,105.78,107.57
2000-01-06,107.45,109.23,107.25,108.71
2000-01-07,108.74,109.01,107.77,108.36
2000-01-10,108.17,108.23,106.8,107.8
2000-01-11,107.8,109.58,107.8,109.58
2000-01-12,109.51,109.76,108.39,109.21
2000-01-13,109.13,109.17,108.42,108.75
2000-01-14,108.79,109.59,107,107.12
2000-01-17,107.49,107.49,105.44,105.97
2000-01-18,106.15,107.09,105.8,107.06
2000-01-19,107.12,107.4,106.27,106.86
2000-01-20,106.64,107.28,106.07,107.11
2000-01-21,107.05,107.26,105.09,105.67
2000-01-24,105.5,106.3,104.8,106.3
2000-01-25,106.2,106.79,105.58,106.03
2000-01-26,106.13,106.45,105.66,105.83
2000-01-27,105.8,106.15,103.41,103.87
2000-01-28,103.82,104.73,102.84,104.29
2000-01-31,104.4,105.01,103.71,103.96
2000-02-01,104.2,105.24,103.7,104.54
2000-02-02,104.78,106.07,104.16,105.56
2000-02-03,105.55,106.89,104.85,106.56
2000-02-04,106.64,106.75,104.74,105.25
2000-02-07,105.31,106.7,105.05,106.55
2000-02-08,106.61,108.3,106.38,107.79
2000-02-09,107.69,108.5,107.19,108.26
2000-02-10,108.22,108.33,106.75,107.61
2000-02-11,107.55,108.06,107.01,107.28
2000-02-14,107.5,107.5,106.22,106.57
2000-02-15,106.6,107.6,106.05,107.11
2000-02-16,107.11,107.94,106.62,107.88
2000-02-17,107.56,109.57,107.55,109.28
2000-02-18,109.16,109.81,108.8,109.25
2000-02-21,109.1,109.99,108.84,109.9
2000-02-22,109.93,111.73,109.93,111.21
2000-02-23,111.23,112.22,110.57,111.37
2000-02-24,111.52,111.82,109.27,110.35
2000-02-25,110.48,110.54,107.11,107.46
2000-02-28,107.38,107.51,103.96,106.36
2000-02-29,105.67,108.58,105.63,106.4
2000-03-01,105.47,106.51,103.53,104.27
2000-03-02,104.2,105.15,103.14,103.75
2000-03-03,103.75,104.7,103.09,103.4
2000-03-06,103.64,103.68,102.6,103.31
2000-03-07,103.07,103.74,100.9,101.77
2000-03-08,101.8,103.19,101.44,102.98
2000-03-09,102.93,103.33,102.07,103.06
2000-03-10,103.15,103.23,101.88,102.24
2000-03-13,102.33,102.77,101.34,101.87
2000-03-14,101.64,101.94,100.52,101.7
2000-03-15,101.84,103.25,101.2,101.73
2000-03-16,101.95,102.85,101.57,102.49
2000-03-17,102.2,103.7,102.07,103.62
2000-03-20,103.77,104.12,102.97,103.42
2000-03-21,103.45,103.87,102.99,103
2000-03-22,102.65,103.25,101.77,102.46
2000-03-23,102.33,104.44,102.33,104.35
2000-03-24,103.66,104.88,103.4,104.41
2000-03-27,104.46,104.83,102.82,102.98
2000-03-28,103.07,103.4,101.52,101.68
2000-03-29,101.62,101.84,100.02,100.66
2000-03-30,100.69,101.43,100,101.1
2000-03-31,101.35,101.91,97.45,98.2
2000-04-03,98.82,100.93,98.55,100.33
2000-04-04,100.07,101.81,100,101.16
2000-04-05,101.1,101.97,100.85,100.86
2000-04-06,100.55,101.27,100.11,100.49
2000-04-07,100.49,101.27,100.1,100.57
2000-04-10,100.94,102.54,100.43,102.42
2000-04-11,102.44,103.47,102.23,102.51
2000-04-12,102.5,102.79,100.5,101.4
2000-04-13,101.4,101.63,100.42,100.74
2000-04-14,100.85,101.28,99.94,100.76
2000-04-17,100.82,101.1,99.07,99.39
2000-04-18,99.53,99.58,98.61,99.24
2000-04-19,98.85,99.46,98.02,98.36
2000-04-20,98.61,99.24,98.07,98.76
2000-04-21,99.24,99.33,98.52,99.25
2000-04-24,99.13,99.79,98.83,99.04
2000-04-25,98.91,99.32,97.08,97.9
2000-04-26,97.86,98.4,96.92,98.05
2000-04-27,98.02,98.35,96.37,96.69
2000-04-28,96.81,98.74,96.44,98.34
2000-05-01,98.34,99.89,97.93,99.71
2000-05-02,99.71,99.81,97.93,98.6
2000-05-03,98.74,99.14,96.45,97.63
2000-05-04,97.63,98.02,96.04,96.15
2000-05-05,96.41,97.68,95.6,97.29
2000-05-08,97.39,98.48,96.55,97.84
